date,name,score,ratio,trend,accel,day1,day2,翌日上昇率_%,急騰,1日目,2日目
2025-09-29,テクニスコ,3.43,2.85,38.54,-51.6,True,False,2.41,False,✅,❌
2025-09-29,海帆,4.91,2.45,23.55,173.95,True,False,-0.58,False,✅,❌
2025-10-01,三ッ星,6.74,2.21,33.27,437.25,True,True,-1.75,False,✅,✅
2025-10-01,SHIFT,7.4,4.19,45.91,456.94,True,True,-4.44,False,✅,✅
2025-10-02,日本伸銅,3.92,3.5,18.42,90.91,True,False,2.72,False,✅,❌
2025-10-02,三ッ星,7.08,3.25,53.47,650.82,True,True,-0.3,False,✅,✅
2025-10-02,MUSCAT GROUP,6.91,2.85,29.59,444.44,True,True,0.0,False,✅,✅
2025-10-03,テクニスコ,9.07,9.21,66.59,3889.87,True,True,-7.04,False,✅,✅
2025-10-07,Birdman,6.66,3.17,26.05,834.98,True,True,-9.83,False,✅,✅
2025-10-07,テクニスコ,5.65,7.21,50.96,25.12,True,False,-4.86,False,✅,❌
2025-10-07,MUSCAT GROUP,7.48,4.43,39.56,855.56,True,True,-2.52,False,✅,✅
2025-10-08,MUSCAT GROUP,7.6,4.81,40.18,1110.0,True,True,0.0,False,✅,✅
2025-10-09,Birdman,3.43,2.17,30.78,-29.48,True,False,5.26,False,✅,❌
2025-10-09,MUSCAT GROUP,3.86,2.78,41.34,-6.98,True,False,2.85,False,✅,❌
2025-10-10,MUSCAT GROUP,3.1,3.08,22.31,-15.7,True,False,-3.52,False,✅,❌
2025-10-10,MRKホールディングス,6.57,1.7,54.44,467.19,False,True,-4.3,False,❌,✅
2025-10-10,テクニスコ,5.62,3.67,13.92,300.23,True,False,11.44,True,✅,❌
2025-10-14,Birdman,2.12,2.7,7.73,45.18,True,False,-4.09,False,✅,❌
2025-10-14,MUSCAT GROUP,6.09,5.36,22.97,200.0,True,True,-1.21,False,✅,✅
2025-10-14,テクニスコ,6.91,5.49,20.77,386.53,True,True,-2.76,False,✅,✅
2025-10-15,イーディーピー,9.17,9.5,80.43,3738.87,True,True,-8.58,False,✅,✅
2025-10-15,マナック・ケミカル,7.04,3.12,37.62,757.89,True,True,-1.4,False,✅,✅
2025-10-16,イーディーピー,9.54,10.62,79.91,4167.8,True,True,-4.47,False,✅,✅
2025-10-16,JMACS,7.17,3.51,67.69,1226.6,True,True,0.0,False,✅,✅
2025-10-16,SHIFT,2.9,2.01,9.63,126.32,True,False,-2.84,False,✅,❌
2025-10-16,MUSCAT GROUP,9.48,10.45,60.47,312.08,True,True,-2.02,False,✅,✅
2025-10-17,MUSCAT GROUP,7.38,4.15,40.89,991.11,True,True,3.39,False,✅,✅
2025-10-20,MUSCAT GROUP,4.75,5.52,33.13,-9.0,True,False,-0.22,False,✅,❌
2025-10-23,マナック・ケミカル,6.54,1.61,34.55,381.25,False,True,2.72,False,❌,✅
2025-10-24,マナック・ケミカル,6.04,2.54,53.72,219.05,True,True,3.3,False,✅,✅
2025-10-24,窪田製薬HD,8.71,8.13,76.35,1403.69,True,True,0.0,False,✅,✅
2025-10-27,テクニスコ,6.49,1.48,64.79,1418.16,False,True,16.78,True,❌,✅
2025-10-27,窪田製薬HD,6.53,1.6,45.53,444.42,False,True,-1.64,False,❌,✅
2025-10-27,マナック・ケミカル,5.44,3.07,47.47,141.56,True,False,-5.43,False,✅,❌
2025-10-28,テクニスコ,6.69,2.06,69.64,2116.16,True,True,-18.53,False,✅,✅
2025-10-28,海帆,6.18,1.91,25.56,298.98,False,True,1.32,False,❌,✅
2025-10-28,マナック・ケミカル,4.21,2.68,30.76,32.09,True,False,-4.22,False,✅,❌
2025-10-30,テクニスコ,7.46,5.26,60.17,271.13,True,True,-3.53,False,✅,✅
2025-10-31,光陽社,6.0,0.0,56.6,508.75,False,True,18.75,True,❌,✅
2025-11-04,光陽社,5.7,4.31,47.38,126.67,True,False,6.49,False,✅,❌
2025-11-04,PKSHA Technology,4.56,2.64,18.26,185.77,True,False,2.36,False,✅,❌
2025-11-05,三ッ星,7.13,3.42,29.94,623.81,True,True,-1.48,False,✅,✅
2025-11-05,光陽社,4.51,4.67,31.54,-4.52,True,False,12.93,True,✅,❌
2025-11-05,日本伸銅,3.07,2.09,20.64,30.77,True,False,-1.22,False,✅,❌
2025-11-05,Appier Group,1.53,2.06,2.1,63.12,True,False,-2.41,False,✅,❌
2025-11-06,日本伸銅,3.47,2.09,21.09,66.67,True,False,-0.48,False,✅,❌
2025-11-06,Appier Group,3.27,2.19,13.9,114.61,True,False,1.54,False,✅,❌
2025-11-06,Birdman,5.52,2.71,47.55,161.68,True,False,-3.16,False,✅,❌
2025-11-06,光陽社,5.61,5.49,26.26,115.29,True,False,-2.86,False,✅,❌
2025-11-07,Appier Group,2.69,2.09,18.64,13.16,True,False,0.58,False,✅,❌
2025-11-07,光陽社,1.06,2.55,3.86,-17.42,True,False,8.44,False,✅,❌
2025-11-10,Birdman,2.57,2.08,20.69,-18.94,True,False,-1.9,False,✅,❌
2025-11-10,東邦チタニウム,6.28,2.5,32.89,244.73,True,True,-0.6,False,✅,✅
2025-11-10,Appier Group,2.69,2.26,17.34,20.19,True,False,2.46,False,✅,❌
2025-11-10,MUSCAT GROUP,6.2,0.61,51.18,2160.0,False,True,0.0,False,❌,✅
2025-11-12,光陽社,8.38,7.14,30.48,742.79,True,True,-4.24,False,✅,✅
2025-11-12,ユニチカ,9.56,10.68,77.26,2084.06,True,True,1.52,False,✅,✅
2025-11-13,ユニチカ,8.93,8.8,72.78,3213.92,True,True,5.41,False,✅,✅
2025-11-14,ユニチカ,3.17,2.28,36.17,-58.65,True,False,-1.82,False,✅,❌
2025-11-14,JMACS,6.74,2.23,51.85,690.4,True,True,0.78,False,✅,✅
2025-11-14,テクニスコ,6.79,2.37,73.41,2098.41,True,True,-2.65,False,✅,✅
2025-11-14,イーディーピー,6.65,1.96,50.73,642.45,False,True,-2.12,False,❌,✅
2025-11-14,日本伸銅,6.14,2.42,34.31,233.33,True,True,-1.3,False,✅,✅
2025-11-17,PKSHA Technology,6.98,2.94,44.78,363.45,True,True,-5.32,False,✅,✅
2025-11-17,日本伸銅,5.79,3.52,44.3,161.54,True,False,-1.9,False,✅,❌
2025-11-17,テクニスコ,6.14,0.41,46.07,414.82,False,True,-6.44,False,❌,✅
2025-11-17,マナック・ケミカル,6.86,2.57,47.27,637.04,True,True,-3.85,False,✅,✅
2025-11-18,窪田製薬HD,7.14,3.42,75.75,4815.37,True,True,6.12,False,✅,✅
2025-11-18,マナック・ケミカル,7.83,5.48,73.01,718.31,True,True,-3.15,False,✅,✅
2025-11-18,三ッ星,7.42,4.25,52.44,475.71,True,True,-1.1,False,✅,✅
2025-11-18,Appier Group,6.8,4.07,39.44,244.53,True,True,-0.1,False,✅,✅
2025-11-18,海帆,7.29,3.87,51.85,519.79,True,True,-3.8,False,✅,✅
2025-11-19,Birdman,6.8,3.63,34.9,258.63,True,True,8.63,False,✅,✅
2025-11-20,海帆,3.29,2.36,28.12,-30.24,True,False,-0.2,False,✅,❌
2025-11-25,テクセンドフォトマスク,5.84,2.44,33.96,202.02,True,False,0.17,False,✅,❌
2025-11-26,三ッ星,6.35,1.88,27.26,368.18,False,True,-1.26,False,❌,✅
2025-11-26,海帆,3.36,2.84,13.62,104.83,True,False,-2.94,False,✅,❌
2025-11-27,QDレーザ,2.58,2.16,15.71,28.49,True,False,1.34,False,✅,❌
2025-11-27,MUSCAT GROUP,6.0,0.0,60.14,839.13,False,True,1.43,False,❌,✅
2025-11-28,テクセンドフォトマスク,7.11,4.42,33.82,263.64,True,True,-6.69,False,✅,✅
2025-12-01,ユニチカ,5.99,2.98,24.38,255.93,True,False,-9.88,False,✅,❌
2025-12-01,窪田製薬HD,6.71,2.13,34.78,1959.33,True,True,-1.96,False,✅,✅
2025-12-01,JMACS,7.78,5.33,60.46,492.89,True,True,-3.9,False,✅,✅
2025-12-01,マナック・ケミカル,4.91,2.1,12.06,301.64,True,False,-2.39,False,✅,❌
2025-12-02,イーディーピー,6.25,2.21,25.13,365.95,True,True,-0.75,False,✅,✅
2025-12-02,JMACS,6.9,2.7,42.48,599.42,True,True,-2.76,False,✅,✅
2025-12-03,光陽社,6.07,0.22,37.91,525.0,False,True,-2.01,False,❌,✅
2025-12-04,Birdman,6.57,2.0,31.45,290.5,True,True,1.92,False,✅,✅
2025-12-04,三ッ星,4.79,3.09,39.04,75.85,True,False,-2.2,False,✅,❌
2025-12-08,MRKホールディングス,6.7,3.08,31.9,267.62,True,True,2.22,False,✅,✅
2025-12-08,JMACS,9.89,11.68,73.8,1638.68,True,True,1.99,False,✅,✅
2025-12-08,テクニスコ,6.39,1.17,29.97,324.23,False,True,-1.83,False,❌,✅
2025-12-09,MRKホールディングス,7.06,3.19,41.83,446.63,True,True,0.0,False,✅,✅
2025-12-09,JMACS,8.56,7.69,67.45,1934.08,True,True,18.44,True,✅,✅
2025-12-09,テクニスコ,6.46,1.37,48.91,1031.06,False,True,-3.59,False,❌,✅
2025-12-10,JMACS,4.58,4.99,44.15,-8.44,True,False,-23.89,False,✅,❌
2025-12-10,イーディーピー,7.1,3.84,36.7,282.03,True,True,-4.88,False,✅,✅
2025-12-11,JMACS,5.51,6.05,32.29,49.11,True,False,5.09,False,✅,❌
2025-12-11,イーディーピー,7.22,3.65,43.58,353.11,True,True,-0.51,False,✅,✅
2025-12-12,窪田製薬HD,6.18,1.61,30.56,264.02,False,True,0.0,False,❌,✅
2025-12-12,JMACS,4.95,5.53,19.2,118.34,True,False,3.17,False,✅,❌
2025-12-16,MUSCAT GROUP,7.15,3.46,53.36,1100.0,True,True,1.89,False,✅,✅
2025-12-17,マナック・ケミカル,5.25,2.15,28.06,172.92,True,False,0.79,False,✅,❌
2025-12-18,MRKホールディングス,5.03,2.33,23.93,186.56,True,False,1.06,False,✅,❌
2025-12-18,三ッ星,6.66,2.58,27.96,933.33,True,True,-1.72,False,✅,✅
2025-12-19,MUSCAT GROUP,6.67,3.28,25.81,448.65,True,True,3.02,False,✅,✅
2025-12-22,SHIFT,5.16,3.14,34.18,111.52,True,False,3.66,False,✅,❌
2025-12-22,MUSCAT GROUP,7.95,5.85,40.75,394.97,True,True,-0.84,False,✅,✅
2025-12-22,JMACS,4.79,2.92,39.36,82.15,True,False,6.91,False,✅,❌
2025-12-22,PKSHA Technology,6.61,2.43,31.68,279.86,True,True,0.6,False,✅,✅
2025-12-23,光陽社,7.82,5.47,82.39,643.75,True,True,-1.78,False,✅,✅
2025-12-23,JMACS,6.13,2.53,30.41,228.27,True,True,-10.21,False,✅,✅
2025-12-23,テクニスコ,6.66,1.99,48.56,336.74,False,True,-1.37,False,❌,✅
2025-12-23,海帆,5.87,2.03,37.61,219.32,True,False,-3.28,False,✅,❌
2025-12-23,日本伸銅,7.34,4.01,40.32,536.36,True,True,0.04,False,✅,✅
2025-12-23,イーディーピー,5.68,2.17,35.0,195.6,True,False,-3.76,False,✅,❌
2025-12-23,SHIFT,4.45,2.72,26.67,87.66,True,False,-0.79,False,✅,❌
2025-12-24,光陽社,6.3,0.89,41.56,850.0,False,True,3.49,False,❌,✅
2025-12-24,JMACS,2.53,2.11,19.04,-7.93,True,False,7.26,False,✅,❌
2025-12-24,海帆,7.35,4.05,51.09,430.15,True,True,7.56,False,✅,✅
2025-12-25,Birdman,6.14,1.11,40.75,277.07,False,True,-0.73,False,❌,✅
2025-12-25,東邦チタニウム,6.74,2.52,28.96,304.02,True,True,-2.92,False,✅,✅
2025-12-26,東邦チタニウム,6.99,2.97,36.49,548.1,True,True,0.0,False,✅,✅
2025-12-26,Birdman,6.46,1.38,44.82,345.25,False,True,0.74,False,❌,✅
2025-12-29,ユニチカ,6.63,1.88,49.65,468.0,False,True,-1.37,False,❌,✅
2025-12-30,テクニスコ,7.79,5.36,66.78,1086.39,True,True,0.25,False,✅,✅
2025-12-30,日本伸銅,4.35,2.45,29.49,58.62,True,False,-0.57,False,✅,❌
2026-01-05,Birdman,6.51,3.8,32.07,223.7,True,True,4.03,False,✅,✅
2026-01-05,テクニスコ,6.58,1.73,47.03,362.72,False,True,-1.0,False,❌,✅
2026-01-06,マナック・ケミカル,5.65,4.0,31.22,131.88,True,False,0.42,False,✅,❌
2026-01-06,光陽社,6.46,1.38,30.56,350.0,False,True,-0.1,False,❌,✅
2026-01-06,三ッ星,5.27,2.2,23.1,223.0,True,False,0.77,False,✅,❌
2026-01-07,MUSCAT GROUP,6.25,0.74,37.99,990.0,False,True,-0.34,False,❌,✅
2026-01-07,日本伸銅,6.42,3.14,23.76,300.0,True,True,0.85,False,✅,✅
2026-01-08,QDレーザ,8.39,7.18,69.59,861.65,True,True,-1.67,False,✅,✅
2026-01-09,東邦チタニウム,3.16,2.0,22.07,28.24,True,False,-0.38,False,✅,❌
2026-01-09,日本伸銅,2.55,2.02,21.3,-25.0,True,False,1.83,False,✅,❌
2026-01-13,Birdman,7.32,3.97,31.31,345.12,True,True,0.72,False,✅,✅
2026-01-14,テクニスコ,4.54,2.26,30.14,78.03,True,False,-2.41,False,✅,❌
2026-01-14,日本伸銅,0.55,2.25,-4.65,25.93,True,False,-0.33,False,✅,❌
2026-01-14,QDレーザ,3.52,3.6,5.32,179.19,True,False,17.96,True,✅,❌
2026-01-15,JMACS,6.44,1.33,55.67,1366.01,False,True,8.27,False,❌,✅
2026-01-15,イーディーピー,5.06,2.54,25.71,163.68,True,False,2.24,False,✅,❌
2026-01-15,ユニチカ,3.75,2.34,18.74,109.18,True,False,-0.26,False,✅,❌
2026-01-15,東邦チタニウム,2.53,2.03,11.85,66.84,True,False,-2.63,False,✅,❌
2026-01-15,テクニスコ,7.14,3.42,35.28,388.6,True,True,-1.23,False,✅,✅
2026-01-16,SHIFT,6.53,3.13,37.89,248.79,True,True,-0.6,False,✅,✅
2026-01-16,ユニチカ,6.64,4.09,37.81,227.83,True,True,-1.55,False,✅,✅
2026-01-16,QDレーザ,6.31,5.84,47.64,136.54,True,True,-0.22,False,✅,✅
2026-01-16,イーディーピー,7.17,3.5,47.32,343.74,True,True,-9.33,False,✅,✅
2026-01-19,窪田製薬HD,7.12,5.31,57.9,235.55,True,True,-18.06,False,✅,✅
2026-01-19,QDレーザ,6.4,3.39,35.87,226.9,True,True,-6.41,False,✅,✅
2026-01-19,イーディーピー,8.27,6.82,60.83,356.16,True,True,-3.49,False,✅,✅
2026-01-19,三ッ星,5.47,2.01,27.51,204.85,True,False,-2.3,False,✅,❌
2026-01-19,SHIFT,4.93,2.16,33.53,120.51,True,False,1.73,False,✅,❌
2026-01-19,ユニチカ,4.19,2.47,29.55,41.34,True,False,-7.22,False,✅,❌
2026-01-20,窪田製薬HD,10.0,12.61,84.87,9892.61,True,True,0.0,False,✅,✅
2026-01-20,光陽社,6.0,0.0,39.17,1225.0,False,True,1.82,False,❌,✅
2026-01-20,マナック・ケミカル,6.03,3.34,36.39,191.82,True,True,8.65,False,✅,✅
2026-01-20,イーディーピー,4.15,2.66,36.07,26.58,True,False,-0.19,False,✅,❌
2026-01-20,SHIFT,2.85,2.16,23.12,-17.82,True,False,-0.08,False,✅,❌
2026-01-21,窪田製薬HD,5.96,4.24,52.65,154.54,True,False,-4.84,False,✅,❌
2026-01-21,マナック・ケミカル,7.62,4.85,52.21,713.61,True,True,-4.6,False,✅,✅
2026-01-22,マナック・ケミカル,4.93,3.68,42.41,70.56,True,False,-0.24,False,✅,❌
2026-01-22,窪田製薬HD,2.81,3.09,24.26,-64.44,True,False,4.76,False,✅,❌
2026-01-23,MUSCAT GROUP,6.57,1.72,47.07,840.0,False,True,1.7,False,❌,✅
2026-01-23,マナック・ケミカル,4.83,4.38,36.47,37.37,True,False,-2.27,False,✅,❌
2026-01-27,日本伸銅,6.8,2.39,34.46,900.0,True,True,-1.44,False,✅,✅
2026-01-27,窪田製薬HD,8.0,6.0,30.11,1132.38,True,True,13.79,True,✅,✅
2026-01-27,三ッ星,4.78,2.42,28.84,108.63,True,False,-1.69,False,✅,❌
2026-01-28,ユニチカ,7.54,4.63,40.23,359.26,True,True,-19.11,False,✅,✅
2026-01-28,MUSCAT GROUP,8.79,8.37,59.72,2800.0,True,True,0.33,False,✅,✅
2026-01-29,テクニスコ,7.24,3.73,47.01,790.39,True,True,-1.1,False,✅,✅
2026-01-29,窪田製薬HD,4.17,3.9,31.32,-13.19,True,False,-6.73,False,✅,❌
2026-01-30,ユニチカ,6.21,6.6,48.79,101.34,True,True,-8.49,False,✅,✅
2026-01-30,テクニスコ,7.28,3.83,47.56,462.01,True,True,-5.23,False,✅,✅
2026-01-30,光陽社,6.0,0.0,41.07,1400.0,False,True,2.35,False,❌,✅
2026-02-02,イーディーピー,9.21,9.63,87.57,6989.63,True,True,5.37,False,✅,✅
2026-02-02,テクニスコ,3.39,2.13,33.21,-31.6,True,False,1.19,False,✅,❌
2026-02-02,ユニチカ,7.37,4.11,37.91,3553.92,True,True,9.34,False,✅,✅
2026-02-03,イーディーピー,7.82,5.45,67.17,3869.08,True,True,0.0,False,✅,✅
2026-02-03,QDレーザ,7.15,3.44,58.48,558.04,True,True,-5.17,False,✅,✅
2026-02-03,ユニチカ,3.44,3.77,23.26,-14.62,True,False,8.65,False,✅,❌
2026-02-03,窪田製薬HD,4.81,3.41,19.7,169.99,True,False,-6.78,False,✅,❌
2026-02-04,ユニチカ,2.47,2.59,17.35,-12.83,True,False,-4.14,False,✅,❌
2026-02-04,イーディーピー,3.24,2.51,34.71,-59.51,True,False,5.53,False,✅,❌
2026-02-05,PKSHA Technology,5.39,2.83,26.75,176.95,True,False,-3.49,False,✅,❌
2026-02-05,テクニスコ,8.23,6.68,31.06,496.81,True,True,1.51,False,✅,✅
2026-02-05,Appier Group,4.96,2.47,22.96,183.97,True,False,-3.51,False,✅,❌
2026-02-05,イーディーピー,0.47,2.14,2.6,-50.3,True,False,11.15,True,✅,❌
2026-02-05,QDレーザ,4.66,3.68,40.35,42.85,True,False,12.14,True,✅,❌
2026-02-05,ユニチカ,2.97,4.39,8.22,68.39,True,False,18.22,True,✅,❌
2026-02-06,JMACS,6.33,1.61,30.74,278.85,False,True,-6.15,False,❌,✅
2026-02-06,テクニスコ,8.83,8.5,65.86,2552.67,True,True,14.34,True,✅,✅
2026-02-06,QDレーザ,3.81,2.65,21.91,74.0,True,False,-6.42,False,✅,❌
2026-02-06,PKSHA Technology,4.5,2.27,20.95,164.46,True,False,-1.78,False,✅,❌
2026-02-09,PKSHA Technology,3.8,2.68,27.94,11.65,True,False,3.55,False,✅,❌
2026-02-09,イーディーピー,5.32,4.7,15.32,221.86,True,False,5.62,False,✅,❌
2026-02-09,JMACS,6.04,1.09,37.63,268.14,False,True,3.11,False,❌,✅
2026-02-09,テクニスコ,4.26,3.53,43.53,8.34,True,False,2.07,False,✅,❌
2026-02-09,マナック・ケミカル,7.17,3.5,49.56,542.35,True,True,0.43,False,✅,✅
2026-02-09,QDレーザ,2.82,3.38,15.29,15.88,True,False,0.64,False,✅,❌
2026-02-10,窪田製薬HD,4.98,2.78,27.77,128.1,True,False,0.0,False,✅,❌
2026-02-10,マナック・ケミカル,6.74,2.23,48.78,374.81,True,True,3.67,False,✅,✅
2026-02-10,PKSHA Technology,2.55,2.19,16.74,14.95,True,False,0.58,False,✅,❌
2026-02-10,日本伸銅,6.78,2.34,52.9,480.0,True,True,3.05,False,✅,✅
2026-02-10,QDレーザ,3.73,3.19,19.9,67.91,True,False,1.28,False,✅,❌
2026-02-12,イーディーピー,6.02,6.23,39.63,94.24,True,False,-6.24,False,✅,❌
2026-02-13,MUSCAT GROUP,7.25,3.74,48.76,312.5,True,True,12.07,True,✅,✅
2026-02-13,三ッ星,8.24,6.71,69.08,1215.65,True,True,-2.38,False,✅,✅
2026-02-16,ユニチカ,5.87,2.07,42.37,218.04,True,False,0.0,False,✅,❌
2026-02-16,MUSCAT GROUP,8.42,7.25,75.11,15271.43,True,True,0.0,False,✅,✅
2026-02-16,PKSHA Technology,1.64,2.46,1.68,65.04,True,False,-1.57,False,✅,❌
2026-02-16,三ッ星,6.66,1.98,42.09,731.03,False,True,-2.68,False,❌,✅
2026-02-16,海帆,6.06,2.9,20.94,342.34,True,True,-7.81,False,✅,✅
2026-02-16,テクニスコ,6.98,4.98,23.16,578.34,True,True,0.0,False,✅,✅
2026-02-16,イーディーピー,2.12,3.83,10.88,-24.15,True,False,0.0,False,✅,❌
2026-02-17,窪田製薬HD,3.01,2.59,0.95,205.03,True,False,-24.0,False,✅,❌
2026-02-17,日本伸銅,7.46,4.38,32.21,405.0,True,True,-0.68,False,✅,✅
2026-02-17,三ッ星,5.76,6.71,53.7,52.35,True,False,3.04,False,✅,❌
2026-02-17,海帆,7.47,4.4,52.71,697.57,True,True,0.84,False,✅,✅
2026-02-17,MUSCAT GROUP,9.8,11.4,79.99,974.38,True,True,-4.05,False,✅,✅
2026-02-17,Appier Group,6.72,3.47,35.97,256.7,True,True,-0.13,False,✅,✅
2026-02-18,光陽社,9.69,11.07,83.94,19600.0,True,True,-2.78,False,✅,✅
2026-02-18,Appier Group,4.96,2.36,32.98,116.97,True,False,-4.83,False,✅,❌
2026-02-18,MUSCAT GROUP,3.62,2.34,42.66,-15.89,True,False,-7.06,False,✅,❌
2026-02-19,テクニスコ,8.37,7.1,51.87,14000.98,True,True,3.98,False,✅,✅
2026-02-19,光陽社,8.29,6.86,71.02,2414.29,True,True,0.0,False,✅,✅
2026-02-19,Appier Group,2.7,2.24,21.86,-23.62,True,False,-4.76,False,✅,❌
2026-02-19,MUSCAT GROUP,7.25,9.91,51.65,94.79,True,False,7.31,False,✅,❌
2026-02-20,MUSCAT GROUP,3.47,2.16,17.1,104.2,True,False,-6.9,False,✅,❌
2026-02-20,Birdman,6.66,1.97,41.68,410.21,False,True,-11.61,False,❌,✅
2026-02-20,Appier Group,1.44,2.0,7.74,-0.39,True,False,-1.63,False,✅,❌
2026-02-24,海帆,4.05,3.77,5.3,225.77,True,False,23.65,True,✅,❌
2026-02-24,Appier Group,0.51,2.16,-3.37,13.0,True,False,2.56,False,✅,❌
2026-02-24,Birdman,6.48,3.34,51.05,236.38,True,True,29.0,True,✅,✅
2026-02-25,海帆,5.47,2.62,31.4,160.11,True,False,8.24,False,✅,❌
2026-02-25,Birdman,4.81,3.01,41.81,80.67,True,False,6.94,False,✅,❌
2026-02-25,イーディーピー,7.44,4.31,76.0,11470.11,True,True,11.88,True,✅,✅
